W,W,W,P,A,A,A,A,A,A,P,P,P,C,C,C,C,C,C,P,H,H,H
W,W,W,P,A,A,A,A,A,A,P,P,P,C,C,C,C,C,CR,P,H,H,H
W,W,W,P,A,A,A,A,A,A,P,P,P,CD,C,C,C,C,C,P,H,H,H
W,W,W,P,A,A,AD,A,A,P,P,P,P,P,C,C,C,C,C,P,H,H,H
WR,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,H,H,H
P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,H,H,H
P,P,P,P,P,P,P,P,K,K,K,K,K,K,K,K,P,P,P,P,H,H,H
M,M,M,M,P,P,P,P,K,K,K,K,K,K,K,K,P,P,P,P,HL,H,H
M,M,M,M,P,P,P,P,K,K,K,K,K,K,K,K,P,P,P,P,P,H,H
M,M,M,MR,P,P,P,P,K,K,K,K,K,K,K,K,P,P,P,P,P,P,P
M,M,P,P,P,P,P,P,K,K,K,K,K,K,K,K,P,P,P,P,P,P,P
MR,P,P,P,P,P,P,P,K,K,K,K,K,K,K,K,P,P,P,P,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,BU,P,P,B
P,P,P,P,P,P,P,P,P,P,P,P,P,P,G,G,G,P,P,B,B,B,B
R,P,P,P,P,P,P,P,E,E,P,P,P,P,GL,G,G,P,P,B,B,B,B
R,R,RU,P,P,E,E,E,E,E,P,P,G,G,G,G,G,P,P,B,B,B,B
R,R,R,P,P,E,E,E,E,E,P,P,G,G,G,G,G,P,P,B,B,B,B
R,R,R,R,P,E,E,E,E,ER,P,P,G,G,G,G,G,P,P,B,B,B,B
R,R,R,R,P,EL,E,E,E,E,P,P,G,G,G,G,G,P,P,B,B,B,B
R,R,R,R,P,E,E,E,E,E,P,P,G,G,G,G,G,P,P,B,B,B,B
R,R,R,R,P,E,E,E,E,E,P,P,G,G,G,G,G,P,P,B,B,B,B
